city,county,population,land_size,medium_income,per_capita_income,no_stations,mile,more_than_12,no_v2,no_urban,no_v3,no_v4,total
Agoura Hills,Los Angeles,20299,7.8,157930,75425,0,,,,,,,
Alhambra,Los Angeles,82868,7.63,80234,38394,1,0,0,0,0,12,0,12
Arcadia,Los Angeles,56681,10.93,108214,53959,0,,,,,,,
Artesia,Los Angeles,16395,1.62,92702,29781,0,,,,,,,
Avalon,Los Angeles,3441,2.9,89131,40655,0,,,,,,,
Azusa,Los Angeles,50000,9.66,81516,30180,1,0,1,0,0,16,0,16
Baldwin Park,Los Angeles,72176,6.63,76002,24664,0,,,,,,,
Bell,Los Angeles,33559,2.51,56685,21024,1,0,0,0,0,8,0,8
Bell Gardens,Los Angeles,39501,2.46,53935,17196,0,,,,,,,
Bellflower,Los Angeles,79190,6.12,75379,28918,0,,,,,,,
Beverly Hills,Los Angeles,32701,5.71,116771,103693,0,,,,,,,
Bradbury,Los Angeles,767,2,158438,92386,0,,,,,,,
Burbank,Los Angeles,107337,17.32,91455,52513,3,3,2,20,0,32,0,52
Calabasas,Los Angeles,23241,13.71,154079,98625,1,1,1,0,0,20,0,20
Carson,Los Angeles,95558,18.73,103045,36093,0,,,,,,,
Cerritos,Los Angeles,49578,8.73,124460,51243,1,1,1,0,20,0,0,20
Claremont,Los Angeles,37266,13.34,115091,53395,0,,,,,,,
Commerce,Los Angeles,12378,6.53,66071,24497,2,2,2,0,0,60,0,60
Compton,Los Angeles,95740,10.03,69728,22278,0,,,,,,,
Covina,Los Angeles,51268,7.04,89650,37234,0,,,,,,,
Cudahy,Los Angeles,22811,1.18,49596,16472,0,,,,,,,
Culver City,Los Angeles,40779,5.11,114429,75245,2,2,1,16,0,8,0,24
Diamond Bar,Los Angeles,55072,14.87,106881,45516,1,1,1,0,0,24,0,24
Downey,Los Angeles,114355,12.41,84236,35375,2,1,0,0,24,0,0,24
Duarte,Los Angeles,21727,6.71,93908,37833,0,,,,,,,
El Monte,Los Angeles,109450,9.56,59929,22865,0,,,,,,,
El Segundo,Los Angeles,17272,5.46,142596,74872,0,,,,,,,
Gardena,Los Angeles,61027,5.83,75443,33617,0,,,,,,,
Glendale,Los Angeles,196543,30.48,81219,44298,2,2,2,0,20,16,0,36
Glendora,Los Angeles,52558,19.51,106718,45796,0,,,,,,,
Hawaiian Gardens,Los Angeles,14149,0.95,73510,23690,1,1,1,0,0,32,0,32
Hawthorne,Los Angeles,88083,6.09,72298,32434,2,2,1,0,12,20,0,32
Hermosa Beach,Los Angeles,19728,1.43,149500,106731,1,1,1,0,0,20,0,20
Hidden Hills,Los Angeles,2107,1.7,250000,134423,0,,,,,,,
Huntington Park,Los Angeles,54883,3.01,54073,19217,1,0,0,0,0,12,0,12
Industry,Los Angeles,234,11.8,77000,20103,2,2,1,0,0,32,0,32
Inglewood,Los Angeles,107762,9.07,67563,30559,0,,,,,,,
Irwindale,Los Angeles,1343,8.8,101181,42766,0,,,,,,,
La Cañada Flintridge,Los Angeles,20573,8.63,210625,99697,0,,,,,,,
La Habra Heights,Los Angeles,5682,6.16,179990,89507,0,,,,,,,
La Mirada,Los Angeles,48008,7.82,104130,39623,0,,,,,,,
La Puente,Los Angeles,38062,3.48,77702,25451,0,,,,,,,
La Verne,Los Angeles,31334,8.42,103816,48567,0,,,,,,,
Lakewood,Los Angeles,82496,9.4,113030,43086,1,0,1,0,0,20,0,20
Lancaster,Los Angeles,173516,94.27,71367,28082,1,1,1,0,0,16,0,16
Lawndale,Los Angeles,31807,1.97,76213,29330,1,1,0,0,0,8,0,8
Lomita,Los Angeles,20921,1.91,87717,46488,0,,,,,,,
Long Beach,Los Angeles,466742,50.71,78995,39589,2,2,1,0,0,28,0,28
Los Angeles,Los Angeles,3898747,469.49,76224,43527,6,6,3,0,26,76,0,102
Lynwood,Los Angeles,67265,4.84,67350,20275,0,,,,,,,
Malibu,Los Angeles,10654,19.85,186905,120795,2,2,0,0,5,8,0,13
Manhattan Beach,Los Angeles,35506,3.93,187217,108762,1,1,1,0,24,0,0,24
Maywood,Los Angeles,25138,1.17,57615,19236,0,,,,,,,
Monrovia,Los Angeles,37931,13.63,93827,44566,0,,,,,,,
Montebello,Los Angeles,62640,8.33,72317,30596,0,,,,,,,
Monterey Park,Los Angeles,61096,7.67,76892,35852,0,,,,,,,
Norwalk,Los Angeles,102773,9.71,91259,29540,1,1,1,0,0,16,0,16
Palmdale,Los Angeles,169450,106.06,78414,27882,2,2,2,0,0,44,0,44
Palos Verdes Estates,Los Angeles,13347,4.78,224766,133004,0,,,,,,,
Paramount,Los Angeles,53733,4.73,67197,23277,0,,,,,,,
Pasadena,Los Angeles,138699,22.96,97818,59655,5,5,4,0,24,68,0,92
Pico Rivera,Los Angeles,62088,8.32,82539,29153,0,,,,,,,
Pomona,Los Angeles,151713,22.99,73515,26064,2,2,2,0,0,40,0,40
Rancho Palos Verdes,Los Angeles,42287,13.47,166747,81344,0,,,,,,,
Redondo Beach,Los Angeles,71576,6.21,134033,73285,1,1,0,8,0,0,0,8
Rolling Hills,Los Angeles,1451,3,250000,187377,0,,,,,,,
Rolling Hills Estates,Los Angeles,8280,3.58,179917,90746,0,,,,,,,
Rosemead,Los Angeles,51185,5.16,70073,26081,0,,,,,,,
San Dimas,Los Angeles,34924,15.03,102241,46574,0,,,,,,,
San Fernando,Los Angeles,23946,2.37,70950,27486,1,1,0,0,0,12,0,12
San Gabriel,Los Angeles,39568,4.14,84056,35799,1,1,1,0,0,20,0,20
San Marino,Los Angeles,12513,3.77,174253,88297,0,,,,,,,
Santa Clarita,Los Angeles,228673,70.75,116186,47057,3,1,3,0,0,72,0,72
Santa Fe Springs,Los Angeles,19219,8.86,81500,30849,0,,,,,,,
Santa Monica,Los Angeles,93076,8.41,106797,86888,3,3,3,0,16,78,0,94
Sierra Madre,Los Angeles,11268,2.95,128056,80210,0,,,,,,,
Signal Hill,Los Angeles,11848,2.19,96385,46714,0,,,,,,,
South El Monte,Los Angeles,19567,2.84,67724,22248,0,,,,,,,
South Gate,Los Angeles,92726,7.24,67188,22927,0,,,,,,,
South Pasadena,Los Angeles,26943,3.41,127882,71865,0,,,,,,,
Temple City,Los Angeles,36494,4,95263,40134,0,,,,,,,
Torrance,Los Angeles,147067,20.52,109554,54737,1,1,1,0,0,20,0,20
Vernon,Los Angeles,329,5,69345,20296,2,1,0,0,0,16,0,16
Walnut,Los Angeles,28430,8.99,130444,50712,0,,,,,,,
West Covina,Los Angeles,109501,16.04,96219,36707,3,2,3,0,0,60,0,60
West Hollywood,Los Angeles,35757,1.894,89034,79645,1,1,0,0,0,8,0,8
Westlake Village,Los Angeles,8029,5.19,188681,99908,0,,,,,,,
Whittier,Los Angeles,87306,14.65,89686,37433,2,2,1,0,0,23,0,23
Aliso Viejo,Orange,52176,6.93,131708,59852,0,,,,,,,
